code,flightnum,depicao,arricao,route,aircraft,flightlevel,distance,deptime,arrtime,flighttime,notes,price,flighttype,daysofweek,enabled
NTL,7,LTFM,KBOS,,TC-GNK,34000,4176.92,19:00, 04:50,9.5, ,2000,P, 056,1
NTL,8,KBOS,LTFM,,TC-GNK,35000,4176.92,6:30, 16:20,9.5, ,2000,P, 016,1
NTL,25,LTFM,CYVR,,TC-LFB,36000,5183.15,7:30, 19:00,11.3, ,3000,P,5,1
NTL,26,CYVR,LTFM,,TC-LFB,35000,5183.15,21:00, 08:30,11.3, ,3000,P,6,1
NTL,1,LTFM,KJFK,,TC-GNE,35000,4339.18,6:00,  16:30,10.3,  ,830,P, 0123456,1
NTL,10,KIAD,LTFM,,TC-GNF,35000,4534.34,2:00, 12:00,10,  ,3000,P, 0123456,1
NTL,100,LTFM,LTAC,,TC-LDR,29000,205.14,7:00,  07:55,0.55,  ,60,P,12345,1
NTL,1001,LTFM,LDSP,,TC-GPK,34000,568.476,15:00, 16:55,1.55, ,1000,P, 0123456,1
NTL,1002,LDSP,LTFM,,TC-GPK,35000,568.476,17:55, 19:50,1.55, ,1000,P, 0123456,1
NTL,1003,LTFM,LDSP,,TC-LDG,36000,568.476,7:00, 08:50,1.5, ,1000,P, 0123456,1
NTL,1004,LDSP,LTFM,,TC-LDG,35000,568.476,9:50, 11:40,1.5, ,1000,P, 0123456,1
NTL,101,LTAC,LTFM,,TC-LDR,30000,205.14,9:00,  09:55,0.55,  ,60,P,12345,1
NTL,1011,LTFM,LBSF,,TC-GLA,30000,253.488,10:10,  11:15,1.05,  ,500,P,123456,1
NTL,1012,LBSF,LTFM,,TC-GLA,29000,253.488,11:40,  12:45,1.05,  ,500,P,123456,1
NTL,1013,LTFM,LBBG,,TC-GLC,26000,95.9182,5:45,  6:30,0.45,  ,300,P,123456,1
NTL,1014,LBBG,LTFM,,TC-GLC,25000,95.9182,7:00,  07:45,0.45,  ,200,P,123456,1
NTL,1015,LTFM,LBWN,,TC-GLA,32000,125.318,7:45,  08:45,1,  ,300,P,123456,1
NTL,1016,LBWN,LTFM,,TC-GLA,31000,125.318,9:30,  10:30,1,  ,300,P,123456,1
NTL,102,LTFM,LTAC,,TC-GRA,29000,205.14,11:00,  11:55,0.55,  ,65,P,12345,1
NTL,1021,LTFM,LROP,,TC-LDP,26000,230.451,9:35,  10:40,1.05,  ,200,P,123456,1
NTL,1022,LROP,LTFM,,TC-LDP,25000,230.451,11:20,  12:25,1.05,  ,200,P,123456,1
